# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00
2             	4.689107e-04	9.500346e-02	2.465466e-01
3             	7.902773e-04	5.809224e-02	1.055533e-01
4             	5.876017e-04	4.655119e-02	7.864340e-02
5             	5.238469e-04	3.866350e-02	6.340333e-02
6             	5.426310e-04	3.367809e-02	5.268394e-02
7             	6.197236e-04	3.022306e-02	4.668134e-02
8             	6.771785e-04	2.682037e-02	4.106620e-02
9             	6.346433e-04	2.391878e-02	3.625339e-02
10            	6.244772e-04	2.122028e-02	3.281837e-02
11            	7.180902e-04	1.951796e-02	2.922588e-02
12            	6.068517e-04	1.790812e-02	2.683976e-02
13            	4.914659e-04	1.654102e-02	2.468520e-02
14            	6.143396e-04	1.553886e-02	2.195998e-02
15            	6.779361e-04	1.466842e-02	2.079442e-02
16            	6.141759e-04	1.377918e-02	2.008572e-02
17            	6.880148e-04	1.338384e-02	1.914054e-02
18            	6.313451e-04	1.273791e-02	1.886086e-02
19            	6.456787e-04	1.234608e-02	1.852941e-02
20            	6.457304e-04	1.208761e-02	1.819505e-02
21            	6.885589e-04	1.187091e-02	1.774690e-02
22            	8.553427e-04	1.167091e-02	1.746206e-02
23            	7.861499e-04	1.147944e-02	1.733695e-02
24            	9.208449e-04	1.126752e-02	1.706597e-02
25            	8.914793e-04	1.118209e-02	1.691314e-02
26            	1.143257e-03	1.111087e-02	1.679929e-02
27            	1.051931e-03	1.104236e-02	1.658641e-02
28            	1.321688e-03	1.082818e-02	1.618188e-02
29            	1.293517e-03	1.080221e-02	1.602815e-02
30            	1.308926e-03	1.057941e-02	1.602019e-02
31            	1.469419e-03	1.070395e-02	1.587039e-02
32            	1.336841e-03	1.052915e-02	1.591599e-02
33            	1.697202e-03	1.066933e-02	1.568805e-02
34            	1.612221e-03	1.056865e-02	1.561312e-02
35            	2.206673e-03	1.067608e-02	1.539630e-02
36            	2.113671e-03	1.070841e-02	1.530154e-02
37            	2.522392e-03	1.067430e-02	1.524921e-02
38            	2.659970e-03	1.082463e-02	1.510216e-02
39            	2.889933e-03	1.073044e-02	1.517222e-02
40            	3.323037e-03	1.085615e-02	1.498439e-02
41            	3.375966e-03	1.084282e-02	1.507142e-02
42            	4.708271e-03	1.098411e-02	1.507280e-02
43            	4.610134e-03	1.097319e-02	1.513120e-02
44            	4.666404e-03	1.073875e-02	1.508942e-02
45            	4.669344e-03	1.077574e-02	1.497789e-02
46            	4.229352e-03	1.070005e-02	1.514035e-02
47            	4.553890e-03	1.066929e-02	1.507925e-02
48            	4.285698e-03	1.055868e-02	1.496873e-02
