distance,U_0,U_1,U_2
3.33333e-06,0.244021,-2.49285e-06,1.99182e-19
1e-05,0.731135,-1.54547e-05,3.35789e-20
1.66667e-05,1.21715,-4.12993e-05,0
2.33333e-05,1.70149,-8.07569e-05,1.5203e-20
3e-05,2.18364,-0.000133805,1.91359e-19
3.66667e-05,2.66312,-0.000200503,2.04817e-19
4.33333e-05,3.1395,-0.000281075,4.05924e-20
5e-05,3.61237,-0.000375809,2.18215e-19
5.66667e-05,4.08134,-0.000485021,5.84045e-19
6.33333e-05,4.54872,-0.000609837,4.52001e-19
7.02554e-05,5.02922,-0.000755608,3.20104e-19
7.7708e-05,5.53797,-0.000930578,3.73617e-19
8.57317e-05,6.07847,-0.00114137,-1.32703e-19
9.43702e-05,6.65152,-0.00139513,3.43194e-19
0.000103671,7.25767,-0.00170042,5.37479e-19
0.000113684,7.89711,-0.00206763,2.49471e-19
0.000124464,8.56964,-0.00250923,5.08109e-19
0.000136071,9.27449,-0.00304027,1.87495e-18
0.000148567,10.0103,-0.00367884,2.84058e-18
0.000162021,10.7749,-0.00444662,1.18644e-18
0.000176506,11.5652,-0.00536949,-2.96097e-20
0.0001921,12.3774,-0.0064782,1.9485e-19
0.00020889,13.2062,-0.00780899,2.48261e-18
0.000226966,14.0455,-0.00940423,2.80686e-18
0.000246428,14.888,-0.0113129,-9.27026e-20
0.000267381,15.725,-0.0135908,-1.23068e-18
0.000289939,16.5473,-0.0163005,1.93013e-18
0.000314227,17.3448,-0.019511,5.09437e-18
0.000340375,18.1072,-0.0232962,5.57063e-18
0.000368527,18.8247,-0.0277335,1.70216e-18
0.000398837,19.4882,-0.0329013,6.90752e-18
0.000431469,20.0903,-0.038876,7.71991e-18
0.000466602,20.626,-0.04573,3.56997e-18
0.000504428,21.0928,-0.0535282,-3.67522e-18
0.000545151,21.491,-0.0623281,-5.87738e-19
0.000588996,21.8232,-0.0721795,2.91661e-18
0.0006362,22.0943,-0.083127,-4.89327e-18
0.000687022,22.3099,-0.0952081,1.12598e-17
0.000741739,22.4762,-0.108444,1.56017e-18
0.000800648,22.5984,-0.122914,5.4204e-18
0.000864072,22.6803,-0.138837,1.1591e-17
0.000932356,22.7237,-0.155833,7.90339e-18
0.00100587,22.7335,-0.174025,3.64377e-18
0.00108502,22.7099,-0.194241,5.48041e-19
0.00117024,22.6517,-0.215597,4.8564e-18
0.00126198,22.5594,-0.2386,-1.14957e-17
0.00136076,22.4333,-0.263266,4.01949e-18
0.00146711,22.2731,-0.289653,2.96904e-18
0.0015816,22.0789,-0.317814,1.0607e-17
0.00170487,21.8513,-0.347802,2.66157e-17
0.00183759,21.5903,-0.379687,1.97711e-17
0.00198047,21.296,-0.413529,5.79416e-18
0.00213431,20.9685,-0.449376,1.25928e-17
0.00229993,20.6074,-0.487261,9.03667e-18
0.00247825,20.2122,-0.527201,2.94099e-18
0.00267023,19.7825,-0.569202,8.46466e-18
0.00287692,19.3183,-0.613267,-5.22199e-18
0.00309945,18.8199,-0.659398,1.76161e-17
0.00333904,18.2882,-0.707576,3.09983e-17
0.00359698,17.7245,-0.757783,3.26889e-18
0.0038747,17.1308,-0.809972,-1.51641e-18
0.00417369,16.5095,-0.864113,6.2548e-19
0.00449559,15.8632,-0.920085,1.16456e-18
0.00484217,15.1935,-0.977756,-4.85972e-19
0.0052153,14.5018,-1.03686,1.60229e-18
0.00561702,13.7898,-1.09723,1.19788e-17
0.00604953,13.0605,-1.15856,6.95699e-18
0.00651519,12.3177,-1.22078,1.52846e-17
0.00701653,11.5646,-1.2834,1.50764e-17
0.00755628,10.8045,-1.34625,2.47852e-17
0.0081374,10.0415,-1.40887,8.60136e-19
0.00876305,9.27963,-1.47111,-5.45087e-18
0.00943665,8.52219,-1.53235,8.25919e-18
