# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	wallBottom	(-4.704000e+00 -1.724500e-02 0.000000e+00)	(-4.704000e+00 4.780085e-18 0.000000e+00)
0.000000e+00	wallExposed	(-4.704000e+00 -2.352000e+00 -1.593777e-19)	(-6.898000e-02 2.352000e+00 3.187554e-19)
0.000000e+00	wallRhoC	(-4.704000e+00 -6.203461e-17 0.000000e+00)	(-4.704000e+00 3.135990e-01 0.000000e+00)
1.000000e+02	wallBottom	(-1.071921e+00 -1.724253e-02 -1.952743e-18)	(-2.431188e-02 1.179435e-04 3.090302e-18)
1.000000e+02	wallExposed	(-9.539352e-02 -4.034424e-02 -1.997823e-18)	(7.965631e-03 4.688402e-02 1.437809e-18)
1.000000e+02	wallRhoC	(-2.988184e-01 -2.684927e-03 -6.926487e-20)	(1.837772e-02 5.334014e-04 4.474399e-35)
2.000000e+02	wallBottom	(-1.170541e+00 -1.714269e-02 -2.028437e-18)	(-3.565827e-02 1.443917e-04 3.405321e-18)
2.000000e+02	wallExposed	(-3.156815e-01 -9.204825e-02 -3.306454e-18)	(9.678992e-03 8.458483e-02 2.132274e-18)
2.000000e+02	wallRhoC	(-1.866759e-01 -4.580850e-03 -1.447559e-19)	(1.794108e-02 3.553656e-03 8.837881e-35)
2.200000e+02	wallBottom	(-1.167316e+00 -1.713780e-02 -2.106142e-18)	(-3.533770e-02 1.332981e-04 3.327625e-18)
2.200000e+02	wallExposed	(-2.639240e-01 -7.966571e-02 -2.898313e-18)	(9.312855e-03 7.056844e-02 1.928873e-18)
2.200000e+02	wallRhoC	(-2.005693e-01 -4.169624e-03 -1.233614e-19)	(1.633648e-02 2.677792e-03 7.526394e-35)
