# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00
2             	5.834289e-03	6.067999e-02	4.310425e-02
3             	1.566801e-02	3.219558e-02	5.070236e-02
4             	2.403407e-02	2.366037e-02	4.496350e-02
5             	7.985279e-03	2.175568e-02	4.214208e-02
6             	1.416678e-02	1.968990e-02	3.882959e-02
7             	1.646669e-02	1.811899e-02	3.719749e-02
8             	9.922815e-03	1.621242e-02	3.575334e-02
9             	8.126256e-03	1.623053e-02	3.444236e-02
10            	8.122227e-03	1.476016e-02	2.937841e-02
11            	6.545197e-03	1.366428e-02	2.626857e-02
12            	6.779083e-03	1.276701e-02	2.280196e-02
13            	5.732128e-03	1.183452e-02	2.050338e-02
14            	4.275058e-03	1.090034e-02	1.795072e-02
15            	4.045432e-03	1.030870e-02	1.611044e-02
16            	3.312803e-03	9.711363e-03	1.470334e-02
17            	3.321520e-03	9.195336e-03	1.373021e-02
18            	2.435266e-03	8.816225e-03	1.291641e-02
19            	2.231954e-03	8.325830e-03	1.191380e-02
20            	2.186653e-03	8.057210e-03	1.133764e-02
21            	2.125495e-03	7.851373e-03	1.090572e-02
22            	1.907782e-03	7.562857e-03	1.025309e-02
23            	2.242027e-03	7.435942e-03	9.929082e-03
24            	1.807103e-03	7.243248e-03	9.477554e-03
25            	2.193025e-03	7.060209e-03	9.082638e-03
26            	1.824492e-03	6.928228e-03	8.761717e-03
27            	1.969226e-03	6.759371e-03	8.381114e-03
28            	1.821420e-03	6.654713e-03	8.121944e-03
29            	1.890094e-03	6.502461e-03	7.807218e-03
30            	1.894246e-03	6.462322e-03	7.638464e-03
31            	1.912091e-03	6.309443e-03	7.347229e-03
32            	2.009782e-03	6.261177e-03	7.183490e-03
33            	2.372350e-03	6.118759e-03	6.934053e-03
34            	2.355032e-03	6.083458e-03	6.871444e-03
35            	1.941392e-03	6.186444e-03	6.795450e-03
36            	2.431711e-03	6.119817e-03	6.642412e-03
37            	2.567574e-03	5.974497e-03	6.342857e-03
38            	2.533308e-03	5.926130e-03	6.288846e-03
39            	2.559528e-03	5.912830e-03	6.221932e-03
40            	2.478973e-03	5.892065e-03	6.111968e-03
41            	2.434539e-03	5.879200e-03	5.933224e-03
42            	2.405483e-03	5.867600e-03	5.863211e-03
43            	2.565382e-03	5.888779e-03	5.777858e-03
44            	2.402539e-03	5.864114e-03	5.644899e-03
45            	2.573456e-03	5.884176e-03	5.576083e-03
46            	2.404274e-03	5.908016e-03	5.471767e-03
47            	2.735365e-03	5.919297e-03	5.429494e-03
48            	3.391669e-03	5.928358e-03	5.374025e-03
49            	3.033550e-03	5.922381e-03	5.304807e-03
50            	2.531495e-03	6.129426e-03	5.375901e-03
51            	2.697288e-03	6.103581e-03	5.311738e-03
52            	3.615096e-03	6.019113e-03	5.074529e-03
53            	2.973450e-03	6.097432e-03	5.104631e-03
54            	3.099112e-03	6.110562e-03	5.062089e-03
55            	3.443430e-03	6.199212e-03	5.061242e-03
56            	2.935318e-03	6.190153e-03	4.934921e-03
57            	3.221515e-03	6.209146e-03	4.886887e-03
58            	2.922594e-03	6.232632e-03	4.743810e-03
59            	3.020424e-03	6.202361e-03	4.708103e-03
60            	3.210830e-03	6.249846e-03	4.712055e-03
61            	2.963059e-03	6.283985e-03	4.547445e-03
62            	4.092415e-03	6.200114e-03	4.516525e-03
63            	3.371527e-03	6.199566e-03	4.450165e-03
64            	3.404107e-03	6.282665e-03	4.479662e-03
65            	3.659977e-03	6.241277e-03	4.530087e-03
66            	3.073289e-03	6.217705e-03	4.460443e-03
67            	3.114776e-03	6.228152e-03	4.421380e-03
68            	3.880823e-03	6.201869e-03	4.417383e-03
69            	3.683543e-03	6.121161e-03	4.400987e-03
70            	3.894404e-03	6.118097e-03	4.262686e-03
71            	3.917241e-03	5.975631e-03	4.196305e-03
72            	4.512546e-03	5.871008e-03	4.138327e-03
73            	4.159711e-03	5.846594e-03	4.065811e-03
74            	4.218394e-03	5.721130e-03	4.047801e-03
75            	4.208900e-03	5.695120e-03	4.084097e-03
76            	4.268164e-03	5.536625e-03	4.043712e-03
77            	4.369168e-03	5.396804e-03	4.020031e-03
78            	4.433511e-03	5.270136e-03	3.983089e-03
79            	4.110533e-03	5.079944e-03	3.953791e-03
80            	5.026067e-03	4.943719e-03	3.850558e-03
81            	4.997396e-03	4.808121e-03	3.979259e-03
82            	4.825646e-03	4.637390e-03	3.874645e-03
83            	4.611112e-03	4.426343e-03	3.834064e-03
84            	4.062644e-03	4.102239e-03	3.687358e-03
85            	3.961627e-03	3.909679e-03	3.527822e-03
86            	5.114452e-03	3.989000e-03	3.552657e-03
87            	5.366968e-03	3.737534e-03	3.560538e-03
