distance,U_0,U_1,U_2
3.33333e-06,0.0950646,-9.4966e-05,0
1e-05,0.276246,-0.000441379,0
1.66667e-05,0.451572,-0.00109653,0
2.33333e-05,0.621104,-0.00205803,0
3e-05,0.784924,-0.00330443,0
3.66667e-05,0.943124,-0.00481386,0
4.33333e-05,1.09582,-0.00656901,0
5e-05,1.24312,-0.00855489,0
5.66667e-05,1.38518,-0.0107579,0
6.33333e-05,1.52214,-0.0131659,0
7e-05,1.65415,-0.0157683,0
7.66667e-05,1.78138,-0.0185558,0
8.33333e-05,1.90401,-0.0215187,0
9e-05,2.02222,-0.0246179,0
9.66667e-05,2.14135,-0.0279594,0
0.000104606,2.27425,-0.0320643,0
0.000114472,2.42685,-0.037378,0
0.000125742,2.59503,-0.0439065,0
0.000138614,2.77616,-0.0517103,0
0.000153317,2.97005,-0.0609589,0
0.00017011,3.17619,-0.0718042,0
0.000189292,3.39372,-0.0844301,0
0.000211201,3.62146,-0.099039,0
0.000236226,3.85805,-0.115831,0
0.00026481,4.10184,-0.134979,0
0.000297459,4.35065,-0.15664,0
0.000334751,4.60115,-0.180998,0
0.000377346,4.8482,-0.208325,0
0.000425998,5.08439,-0.238676,0
0.000481569,5.30184,-0.271719,0
0.000545043,5.4922,-0.307311,0
0.000617543,5.64202,-0.345511,0
0.000700353,5.74169,-0.384474,0
0.000794939,5.79406,-0.423853,0
0.000902977,5.80361,-0.460335,0
0.00102638,5.78107,-0.492238,0
0.00116733,5.73657,-0.518358,0
0.00132832,5.68137,-0.539047,0
0.00151221,5.61647,-0.551761,0
0.00172225,5.53939,-0.556031,0
0.00196216,5.46012,-0.549839,0
0.00223618,5.38237,-0.53411,0
0.00254918,5.30967,-0.508982,0
0.00290668,5.24329,-0.476859,0
